,AHRS3.lat,AHRS3.lng
244,42.5461,-83.31951
245,42.5461,-83.31951
246,42.5461,-83.31951
247,42.5461,-83.31951
248,42.5461,-83.31951
249,42.5461,-83.31951
250,42.5461,-83.31951
251,42.5461,-83.31951
252,42.5461,-83.31951
253,42.5461,-83.31951
254,42.5461,-83.31951
255,42.5461,-83.31951
256,42.5461,-83.31951
257,42.5461,-83.31951
258,42.5461,-83.31951
259,42.5461,-83.31951
260,42.5461,-83.31951
261,42.5461,-83.31951
262,42.5461,-83.31951
263,42.5461,-83.31951
264,42.5461,-83.31951
265,42.5461,-83.31951
266,42.5461,-83.31951
267,42.5461,-83.31951
268,42.54611,-83.319508
269,42.54611,-83.319508
270,42.54611,-83.319508
271,42.54611,-83.319508
272,42.54611,-83.319508
273,42.54611,-83.319508
274,42.54611,-83.319508
275,42.54611,-83.319508
276,42.54611,-83.319508
277,42.54611,-83.319508
278,42.54611,-83.319508
279,42.54611,-83.319508
280,42.54611,-83.319508
281,42.54611,-83.319508
282,42.54611,-83.319508
283,42.54611,-83.319508
284,42.54611,-83.319508
285,42.54611,-83.319508
286,42.54611,-83.319508
287,42.54611,-83.319508
288,42.54611,-83.319508
289,42.54611,-83.319508
290,42.54611,-83.319508
291,42.54611,-83.319508
292,42.54611,-83.319508
293,42.54611,-83.319508
294,42.54611,-83.319508
295,42.54611,-83.319508
296,42.54611,-83.319508
297,42.54611,-83.319508
298,42.54611,-83.319508
299,42.54611,-83.319508
300,42.54611,-83.319508
301,42.54612,-83.319505
302,42.54612,-83.319505
303,42.54612,-83.319505
304,42.54612,-83.319505
305,42.54612,-83.319505
306,42.54612,-83.319505
307,42.54612,-83.319505
308,42.54612,-83.319505
309,42.54612,-83.319505
310,42.54612,-83.319505
311,42.54612,-83.319505
312,42.54612,-83.319505
313,42.54612,-83.319505
314,42.54612,-83.319505
315,42.54612,-83.319505
316,42.54612,-83.319505
317,42.54612,-83.319505
318,42.54612,-83.319505
319,42.54612,-83.319505
320,42.54612,-83.319505
321,42.54612,-83.319505
322,42.54612,-83.319505
323,42.54612,-83.319505
324,42.54612,-83.319505
325,42.54612,-83.319505
326,42.54612,-83.319505
327,42.54612,-83.319505
328,42.54612,-83.319505
329,42.54612,-83.319505
330,42.54612,-83.319505
331,42.54612,-83.319505
332,42.54613,-83.319502
333,42.54613,-83.319502
334,42.54613,-83.319502
335,42.54613,-83.319502
336,42.54613,-83.319502
337,42.54613,-83.319502
338,42.54613,-83.319502
339,42.54613,-83.319502
340,42.54613,-83.319502
341,42.54613,-83.319502
342,42.54613,-83.319502
343,42.54613,-83.319502
344,42.54613,-83.319502
345,42.54613,-83.319502
346,42.54613,-83.319502
347,42.54613,-83.319502
348,42.54613,-83.319502
349,42.54613,-83.319502
350,42.54613,-83.319502
351,42.54613,-83.319502
352,42.54613,-83.319502
353,42.54613,-83.319502
354,42.54613,-83.319502
355,42.54613,-83.319502
356,42.54613,-83.319502
357,42.54613,-83.319502
358,42.54613,-83.319502
359,42.54613,-83.319502
360,42.54613,-83.319502
361,42.54613,-83.319502
362,42.54613,-83.319502
363,42.54613,-83.319502
364,42.54613,-83.319502
365,42.54613,-83.319502
366,42.54613,-83.319502
367,42.54613,-83.319502
368,42.54614,-83.319499
369,42.54614,-83.319499
370,42.54614,-83.319499
371,42.54614,-83.319499
372,42.54614,-83.319499
373,42.54614,-83.319499
374,42.54614,-83.319499
375,42.54614,-83.319499
376,42.54614,-83.319499
377,42.54614,-83.319499
378,42.54614,-83.319499
379,42.54614,-83.319499
380,42.54614,-83.319499
381,42.54614,-83.319499
382,42.54614,-83.319499
383,42.54614,-83.319499
384,42.54614,-83.319499
385,42.54614,-83.319499
386,42.54614,-83.319499
387,42.54614,-83.319499
388,42.54614,-83.319499
389,42.54614,-83.319499
390,42.54614,-83.319499
391,42.54614,-83.319499
392,42.54614,-83.319499
393,42.54614,-83.319499
394,42.54614,-83.319499
395,42.54614,-83.319499
396,42.54614,-83.319499
397,42.54614,-83.319499
398,42.54614,-83.319499
399,42.54614,-83.319499
400,42.54614,-83.319499
401,42.54614,-83.319499
402,42.54614,-83.319499
403,42.54615,-83.319496
404,42.54615,-83.319496
405,42.54615,-83.319496
406,42.54615,-83.319496
407,42.54615,-83.319496
408,42.54615,-83.319496
409,42.54615,-83.319496
410,42.54615,-83.319496
411,42.54615,-83.319496
412,42.54615,-83.319496
413,42.54615,-83.319496
414,42.54615,-83.319496
415,42.54615,-83.319496
416,42.54615,-83.319496
417,42.54615,-83.319496
418,42.54615,-83.319496
419,42.54615,-83.319496
420,42.54615,-83.319496
421,42.54615,-83.319496
422,42.54615,-83.319496
423,42.54615,-83.319496
424,42.54615,-83.319496
425,42.54615,-83.319496
426,42.54615,-83.319496
427,42.54615,-83.319496
428,42.54615,-83.319496
429,42.54615,-83.319496
430,42.54615,-83.319496
431,42.54615,-83.319496
432,42.54615,-83.319496
433,42.54616,-83.319492
434,42.54616,-83.319492
435,42.54616,-83.319492
436,42.54616,-83.319492
437,42.54616,-83.319492
438,42.54616,-83.319492
439,42.54616,-83.319492
440,42.54616,-83.319492
441,42.54616,-83.319492
442,42.54616,-83.319492
443,42.54616,-83.319492
444,42.54616,-83.319492
445,42.54616,-83.319492
446,42.54616,-83.319492
447,42.54616,-83.319492
448,42.54616,-83.319492
449,42.54616,-83.319492
450,42.54616,-83.319492
451,42.54616,-83.319492
452,42.54616,-83.319492
453,42.54616,-83.319492
454,42.54616,-83.319492
455,42.54616,-83.319492
456,42.54616,-83.319492
457,42.54616,-83.319492
458,42.54616,-83.319492
459,42.54616,-83.319492
460,42.54616,-83.319492
461,42.54616,-83.319492
462,42.54616,-83.319492
463,42.54616,-83.319492
464,42.54616,-83.319492
465,42.54616,-83.319492
466,42.54616,-83.319492
467,42.54616,-83.319492
468,42.54616,-83.319492
469,42.54616,-83.319492
470,42.54616,-83.319492
471,42.54616,-83.319492
472,42.54616,-83.319492
473,42.54616,-83.319492
474,42.54616,-83.319492
475,42.54616,-83.319492
476,42.54616,-83.319492
477,42.54616,-83.319492
478,42.54616,-83.319492
479,42.54617,-83.319487
