,ADSB_VEHICLE.lat,ADSB_VEHICLE.lon
0,41.95869,-83.307133
1,41.95869,-83.307133
2,41.95869,-83.307133
3,41.95869,-83.307133
4,41.95869,-83.307133
5,42.23022,-83.334453
6,42.23022,-83.334453
7,42.23022,-83.334453
8,42.23022,-83.334453
9,42.23022,-83.334453
10,42.23022,-83.334453
11,42.22683,-83.335088
12,42.22683,-83.335088
13,42.22683,-83.335088
14,42.22683,-83.335088
15,42.22683,-83.335088
16,42.22683,-83.335088
17,42.22683,-83.335088
18,42.22683,-83.335088
19,42.22683,-83.335088
20,42.22683,-83.335088
21,42.22683,-83.335088
22,42.22683,-83.335088
23,42.22683,-83.335088
24,42.22683,-83.335088
25,42.22683,-83.335088
26,42.22683,-83.335088
27,42.22683,-83.335088
28,42.22683,-83.335088
29,42.22683,-83.335088
30,42.22683,-83.335088
31,42.22683,-83.335088
32,42.22683,-83.335088
33,42.22374,-83.335331
34,42.22374,-83.335331
35,42.22374,-83.335331
36,42.22374,-83.335331
37,42.22374,-83.335331
38,42.22374,-83.335331
39,42.22374,-83.335331
40,42.22374,-83.335331
41,42.22374,-83.335331
42,42.22374,-83.335331
43,42.22374,-83.335331
44,42.22374,-83.335331
45,42.22374,-83.335331
46,42.22374,-83.335331
47,42.22374,-83.335331
48,42.22374,-83.335331
49,42.22374,-83.335331
50,42.22374,-83.335331
51,42.22374,-83.335331
52,42.27969,-83.329004
53,42.27969,-83.329004
54,42.27969,-83.329004
55,42.27969,-83.329004
56,42.27969,-83.329004
57,42.27969,-83.329004
58,42.27969,-83.329004
59,42.27969,-83.329004
60,42.22067,-83.335391
61,42.22067,-83.335391
62,42.22067,-83.335391
63,42.22067,-83.335391
64,42.22067,-83.335391
65,42.22067,-83.335391
66,42.22067,-83.335391
67,42.22067,-83.335391
68,42.22067,-83.335391
69,42.22067,-83.335391
70,42.22067,-83.335391
71,42.22067,-83.335391
72,42.22067,-83.335391
73,42.22067,-83.335391
74,42.22067,-83.335391
75,42.22067,-83.335391
76,42.22067,-83.335391
77,42.22067,-83.335391
78,42.22067,-83.335391
79,42.22067,-83.335391
80,42.22067,-83.335391
81,42.22067,-83.335391
82,42.22067,-83.335391
83,42.22067,-83.335391
84,42.22067,-83.335391
85,42.22067,-83.335391
86,42.22067,-83.335391
87,42.22067,-83.335391
88,42.20065,-83.333597
89,42.2082,-83.334005
90,42.2082,-83.334005
91,42.2082,-83.334005
92,42.2082,-83.334005
93,42.2082,-83.334005
94,42.2082,-83.334005
95,42.20196,-83.336123
96,42.21554,-83.335001
97,42.21554,-83.335001
98,42.21554,-83.335001
99,42.21554,-83.335001
100,42.20191,-83.336359
101,42.21983,-83.335065
102,42.57455,-83.356814
103,42.36296,-83.317255
104,42.2211,-83.336945
105,42.22964,-83.334451
106,42.22841,-83.333014
107,42.22841,-83.333014
108,42.22116,-83.335359
109,42.22492,-83.336706
110,42.22067,-83.335391
111,42.29721,-83.385705
112,42.22683,-83.335088
113,42.22374,-83.335331
114,42.21462,-83.335226
115,42.21462,-83.335226
116,42.21462,-83.335226
117,42.21462,-83.335226
118,42.21462,-83.335226
119,42.21462,-83.335226
120,42.21462,-83.335226
121,42.21462,-83.335226
122,42.21462,-83.335226
123,42.21462,-83.335226
124,42.21462,-83.335226
125,42.21462,-83.335226
126,42.21462,-83.335226
127,42.21462,-83.335226
128,42.21462,-83.335226
129,42.21462,-83.335226
130,42.21462,-83.335226
131,42.21462,-83.335226
132,42.21462,-83.335226
133,42.21462,-83.335226
134,42.21462,-83.335226
135,42.21462,-83.335226
136,42.21462,-83.335226
137,42.21462,-83.335226
138,42.21462,-83.335226
139,42.21462,-83.335226
140,42.21462,-83.335226
141,42.21462,-83.335226
142,42.21462,-83.335226
143,42.21462,-83.335226
144,42.21462,-83.335226
145,42.21462,-83.335226
146,42.21462,-83.335226
147,42.21462,-83.335226
148,42.21462,-83.335226
149,42.21462,-83.335226
150,42.21462,-83.335226
151,42.21462,-83.335226
152,42.21462,-83.335226
153,42.21462,-83.335226
154,42.21462,-83.335226
155,42.21462,-83.335226
156,42.21462,-83.335226
157,42.21462,-83.335226
158,42.21462,-83.335226
159,42.21462,-83.335226
160,42.21462,-83.335226
161,42.21462,-83.335226
162,42.21462,-83.335226
163,42.21462,-83.335226
164,42.21462,-83.335226
165,42.21462,-83.335226
166,42.21462,-83.335226
167,42.21462,-83.335226
168,42.21462,-83.335226
169,42.21462,-83.335226
170,42.21462,-83.335226
171,42.21462,-83.335226
172,42.21462,-83.335226
173,42.21462,-83.335226
174,42.21462,-83.335226
175,42.21462,-83.335226
176,42.21462,-83.335226
177,42.21462,-83.335226
178,42.21462,-83.335226
179,42.21462,-83.335226
180,42.21462,-83.335226
181,42.21462,-83.335226
182,42.2155,-83.334947
