timestamp,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
1655307498.89866400,114592656,42.546059799999995,-83.19517669999999,237.0699920654297,0.05913446098566055,0.5291344523429871
1655307498.99028206,114684274,42.5460597,-83.19517669999999,237.11000061035156,0.0928284302353859,0.5628284215927124
1655307499.01026201,114704254,42.5460596,-83.19517669999999,237.1199951171875,0.10430333763360977,0.5743033289909363
1655307499.03075910,114724751,42.5460596,-83.19517669999999,237.12998962402344,0.1155109778046608,0.5855109691619873
1655307499.07007408,114764066,42.5460595,-83.19517669999999,237.14999389648438,0.13836251199245453,0.6083624958992004
1655307499.11079812,114804790,42.5460594,-83.1951766,237.17999267578125,0.1602809876203537,0.6302809715270996
1655307499.11129403,114805286,42.5460594,-83.1951766,237.17999267578125,0.1602809876203537,0.6302809715270996
1655307499.15163708,114845629,42.5460594,-83.1951766,237.1999969482422,0.18240509927272797,0.6524050831794739
1655307499.19151020,114885502,42.546059299999996,-83.1951766,237.22000122070312,0.20522521436214447,0.6752251982688904
1655307499.21162820,114905620,42.546059199999995,-83.1951766,237.22999572753906,0.2146262377500534,0.6846262216567993
1655307499.23128104,114925273,42.546059199999995,-83.1951766,237.239990234375,0.2240721434354782,0.6940721273422241
1655307499.27163720,114965629,42.5460591,-83.1951765,237.25999450683594,0.24325351417064667,0.7132534980773926
1655307499.31108212,115005074,42.546059,-83.1951765,237.27999877929688,0.2610054314136505,0.7310054302215576
1655307499.31176400,115005756,42.546059,-83.1951765,237.27999877929688,0.2610054314136505,0.7310054302215576
1655307499.35168004,115045672,42.5460589,-83.1951765,237.2899932861328,0.27461621165275574,0.7446162104606628
1655307499.39163303,115085625,42.5460589,-83.1951765,237.29998779296875,0.2897321879863739,0.759732186794281
1655307499.41153908,115105531,42.5460588,-83.1951765,237.30999755859375,0.29776671528816223,0.7677667140960693
1655307499.43131900,115125311,42.5460588,-83.1951764,237.3199920654297,0.30608633160591125,0.7760863304138184
1655307499.47162104,115165613,42.546058699999996,-83.1951764,237.33999633789062,0.32306966185569763,0.7930696606636047
1655307499.51158118,115205573,42.546058699999996,-83.1951764,237.34999084472656,0.3383081257343292,0.8083081245422363
1655307499.51181602,115205808,42.546058699999996,-83.1951764,237.34999084472656,0.3383081257343292,0.8083081245422363
1655307499.55170918,115245701,42.546058599999995,-83.1951764,237.3699951171875,0.350224107503891,0.8202241063117981
1655307499.59173799,115285730,42.5460585,-83.1951764,237.37998962402344,0.36207279562950134,0.8320727944374084
1655307499.61126614,115305258,42.5460585,-83.1951763,237.37998962402344,0.3677137792110443,0.8377137780189514
1655307499.63148618,115325478,42.5460584,-83.1951763,237.38999938964844,0.37430623173713684,0.844306230545044
1655307499.67157412,115365566,42.5460584,-83.1951763,237.39999389648438,0.38803908228874207,0.8580390810966492
1655307499.71175218,115405744,42.5460583,-83.1951763,237.4199981689453,0.4003208577632904,0.8703208565711975
1655307499.71224618,115406238,42.5460583,-83.1951763,237.4199981689453,0.4003208577632904,0.8703208565711975
1655307499.75202298,115446015,42.5460582,-83.1951763,237.4199981689453,0.40960291028022766,0.8796029090881348
1655307499.79228902,115486281,42.5460582,-83.1951763,237.42999267578125,0.41939154267311096,0.8893915414810181
1655307499.81190014,115505892,42.546058099999996,-83.1951763,237.4399871826172,0.42469701170921326,0.8946970105171204
1655307499.83261204,115526604,42.546058099999996,-83.1951763,237.4499969482422,0.43037256598472595,0.9003725647926331
1655307499.87203312,115566025,42.546057999999995,-83.1951763,237.45999145507812,0.44197019934654236,0.9119701981544495
1655307499.91188002,115605872,42.546057999999995,-83.19517619999999,237.47000122070312,0.4519091546535492,0.9219091534614563
1655307499.91270399,115606696,42.546057999999995,-83.19517619999999,237.47000122070312,0.4519091546535492,0.9219091534614563
1655307499.95184708,115645839,42.5460579,-83.19517619999999,237.47000122070312,0.4583568871021271,0.9283568859100342
1655307499.99226499,115686257,42.5460578,-83.19517619999999,237.47999572753906,0.46545377373695374,0.9354537725448608
1655307500.01201510,115706007,42.5460578,-83.19517619999999,237.47999572753906,0.4694198668003082,0.9394198656082153
1655307500.03199220,115725984,42.5460578,-83.19517619999999,237.489990234375,0.47381237149238586,0.943812370300293
1655307500.07205915,115766051,42.5460577,-83.19517619999999,237.5,0.483324259519577,0.9533242583274841
1655307500.11227918,115806271,42.5460577,-83.19517619999999,237.50999450683594,0.4916597306728363,0.9616597294807434
1655307500.11454511,115808537,42.5460576,-83.19517619999999,237.50999450683594,0.492755264043808,0.9627552628517151
1655307500.15425014,115848242,42.5460576,-83.19517619999999,237.50999450683594,0.498828262090683,0.9688282608985901
1655307500.19416618,115888158,42.546057499999996,-83.19517619999999,237.51998901367188,0.5055623054504395,0.9755622744560242
1655307500.21199322,115905985,42.546057499999996,-83.19517619999999,237.51998901367188,0.5077968835830688,0.9777968525886536
1655307500.23460102,115928593,42.546057499999996,-83.19517619999999,237.52999877929688,0.5136519074440002,0.983651876449585
1655307500.27425218,115968244,42.546057399999995,-83.19517619999999,237.5399932861328,0.522790253162384,0.9927902221679688
1655307500.31184602,116005838,42.546057399999995,-83.19517619999999,237.5399932861328,0.5292329788208008,0.9992329478263855
1655307500.31429601,116008288,42.5460573,-83.19517619999999,237.54998779296875,0.5302866101264954,1.00028657913208
1655307500.35461020,116048602,42.5460573,-83.19517619999999,237.54998779296875,0.5360322594642639,1.0060322284698486
1655307500.39426804,116088260,42.5460572,-83.19517619999999,237.55999755859375,0.5421558022499084,1.0121557712554932
